Team,STR,KRE,KRERank,KE,KERank,PRE,PRERank,PE,PERank,FGE,FGERank,OFG,OFGRank
South Carolina,1.2,0.06,30,-0.06,97,0.47,1,0.23,29,0.99,5,0.63,13
Oklahoma State,1.18,0.46,2,0.02,40,-0.09,43,0.17,59,0.55,29,0.56,16
Arkansas State,1,0.27,6,0.06,12,-0.23,105,0.33,10,0.94,8,0.79,7
Michigan,0.99,0.19,11,0.02,46,0.08,12,0.37,4,0.29,60,-0.69,106
NC State,0.89,-0.05,108,0.08,6,0.19,7,0.18,53,1.14,2,-0.16,58
San Diego State,0.82,0.01,65,0.09,4,0.27,4,0.13,75,0.42,44,0.97,2
TCU,0.78,0.23,9,-0.13,115,0.09,11,0.18,51,0.78,14,-0.35,75
Texas A&M,0.72,0.25,7,0.01,47,-0.12,57,0.35,7,-0.03,81,0.83,5
Texas,0.68,0.04,43,0.06,10,0.13,9,0.23,28,0.24,62,-0.7,108
Duke,0.64,0,74,0.06,13,0.26,5,0.22,32,-0.1,89,-0.1,55
Navy,0.59,0.06,33,0.05,16,0.05,16,0.14,70,0.46,39,-0.1,56
Syracuse,0.58,0.07,29,0.05,18,-0.13,66,0.35,8,0.39,46,0.88,3
North Carolina,0.57,0.17,12,-0.02,73,-0.12,61,0.26,21,0.44,41,-0.01,47
Fresno State,0.57,0.03,49,0.08,7,0.29,3,0.05,99,-0.1,87,-0.38,79
Vanderbilt,0.52,-0.02,87,-0.04,87,-0.11,54,0.49,1,0.68,21,-0.72,110
Southern Mississippi,0.51,-0.01,86,0.04,25,0.07,14,0.18,58,0.54,31,0,46
Washington State,0.49,0.05,37,0,55,0,23,0.15,67,0.62,25,0.09,36
Kentucky,0.47,0.47,1,-0.08,107,-0.15,72,0.01,108,-0.15,93,-1.11,124
Iowa,0.43,0.04,45,-0.01,61,-0.05,31,0.35,9,0.21,64,-0.56,96
Mississippi State,0.42,0.11,21,0.04,26,-0.09,44,0.22,37,0.12,73,-0.57,98
Eastern Michigan,0.41,0.38,3,-0.12,112,-0.26,111,0.18,52,0.16,67,-0.75,112
Penn State,0.41,0,78,0.03,37,-0.07,37,0.36,5,0.17,66,-0.53,93
Wyoming,0.41,0.11,20,-0.01,69,-0.07,38,0.13,76,0.51,34,0.88,4
Rice,0.39,-0.06,115,0.02,43,0.01,22,0.18,57,0.74,17,-0.47,86
Alabama,0.39,-0.04,106,0.06,11,0.04,17,0.2,43,0.29,59,-0.41,81
Florida International,0.38,0.09,23,0,60,-0.05,32,0.24,23,0.09,77,-0.54,94
Stanford,0.37,-0.02,89,0,56,-0.14,69,0.23,30,0.98,6,-0.34,74
Miami,0.37,0.34,4,-0.1,110,-0.38,129,0.36,6,0.12,72,-0.46,85
UCF,0.36,-0.03,99,0.01,53,0.13,10,0.11,80,0.38,47,0.64,11
Oklahoma,0.34,0.05,40,-0.02,76,-0.05,33,0.22,33,0.37,49,-0.61,100
Clemson,0.34,0.05,38,0.04,23,-0.02,26,0.04,103,0.45,40,0,45
Louisiana,0.34,0.04,42,0.06,15,0.2,6,0.08,90,-0.51,112,-0.18,63
Utah State,0.33,0.03,47,-0.09,109,-0.06,34,0.17,63,1,4,-0.81,116
Air Force,0.32,0,73,-0.01,62,-0.16,80,0.13,77,1.14,3,-0.14,57
Florida,0.31,-0.12,130,0.04,30,0.18,8,0.19,46,0.11,74,-0.17,61
Bowling Green,0.29,0.01,67,-0.27,128,0.4,2,0.17,62,0.37,52,0.08,38
Georgia,0.29,0.06,34,0.06,14,-0.22,103,0.18,55,0.5,38,-1.2,128
Notre Dame,0.28,0,77,0.04,28,-0.11,53,0.22,34,0.36,54,0.64,12
Florida State,0.26,0.24,8,0.01,48,-0.04,29,0.15,69,-0.82,124,-0.3,73
Georgia Southern,0.26,-0.03,100,0.03,32,0.03,19,0.04,104,0.51,35,0.69,10
Temple,0.24,-0.12,129,0.03,38,-0.24,107,0.21,40,1.38,1,0.18,32
UTSA,0.21,0.06,32,-0.01,64,-0.17,82,0.27,19,0.14,69,-0.7,109
Kansas State,0.2,-0.01,85,-0.02,75,0.03,18,0.23,26,-0.04,82,-0.89,120
Oregon State,0.19,0,68,0.03,33,-0.03,27,0.2,44,-0.13,92,-0.08,52
Auburn,0.18,0.02,57,0.05,19,-0.2,98,0.27,18,0.06,79,0.38,23
South Florida,0.18,0.12,19,0.03,34,-0.12,58,-0.05,110,0.31,58,-0.68,104
Kansas,0.17,0.13,16,-0.07,103,-0.19,89,0.41,3,-0.36,107,0.21,30
Cincinnati,0.17,0.01,64,0.06,8,-0.06,35,0.33,11,-0.67,118,-0.5,88
New Mexico,0.17,0.32,5,0.05,20,-0.25,110,0.13,78,-0.89,125,-0.68,105
Memphis,0.16,0.02,60,-0.17,118,-0.1,46,0.3,15,0.74,18,-0.23,69
Louisville,0.15,-0.02,94,0.03,36,-0.15,73,0.2,42,0.33,55,0.34,24
Virginia Tech,0.13,-0.06,117,0.05,17,-0.1,49,0.1,82,0.52,33,-0.39,80
Houston,0.13,0.13,17,-0.04,88,-0.22,104,0.26,20,-0.07,86,-0.2,64
North Texas,0.12,0.19,10,-0.09,108,-0.31,118,0.23,27,0.23,63,0.22,29
Maryland,0.11,-0.02,93,-0.08,104,-0.22,101,0.22,36,0.97,7,0.22,28
Arizona State,0.11,0.06,31,-0.03,80,-0.32,120,0.19,47,0.72,20,-0.52,91
USC,0.09,0.05,39,0.01,52,-0.12,62,0.09,87,0.15,68,0.5,19
Nevada,0.08,0.02,63,0.02,44,-0.19,88,0.12,79,0.37,51,-0.81,117
Illinois,0.08,0.03,52,0.03,39,-0.16,77,0.19,48,-0.05,85,-0.37,77
Washington,0.06,0.04,41,-0.01,68,-0.34,123,0.14,72,0.82,12,-1.19,127
UTEP,0.06,-0.06,116,-0.04,85,-0.12,59,0.16,64,0.65,23,0.07,39
Ole Miss,0.05,-0.01,82,-0.18,120,-0.1,51,0.32,13,0.58,27,0.01,44
Rutgers,0.04,-0.02,91,-0.15,117,-0.06,36,0.32,12,0.32,56,-0.16,59
UNLV,0.04,0.07,27,-0.19,121,-0.12,55,0.09,84,0.94,9,-0.02,50
Colorado,0.02,0.04,46,0.01,50,-0.16,78,-0.08,113,0.66,22,-0.79,113
Western Michigan,0.01,0.13,18,-0.23,123,-0.29,114,0.29,16,0.73,19,0.01,43
Purdue,-0.02,0.01,66,-0.01,63,-0.17,83,0.16,65,0.1,76,-0.02,48
Ohio,-0.02,0,69,0,57,-0.14,68,-0.09,115,0.78,15,0.13,35
South Alabama,-0.02,-0.03,97,0.11,3,0.01,21,-0.41,129,0.79,13,-0.05,51
West Virginia,-0.03,-0.08,122,-0.03,84,-0.12,63,0.16,66,0.5,37,-1.17,126
Miami (OH),-0.03,0.02,59,-0.26,126,0.01,20,0.28,17,0.36,53,-0.43,83
Louisiana Tech,-0.03,-0.07,118,0.04,29,0.07,13,-0.22,124,0.5,36,-0.49,87
Buffalo,-0.05,0.17,13,-0.18,119,-0.16,79,-0.02,109,0.58,26,-0.83,118
Tennessee,-0.05,-0.08,121,0.12,2,-0.15,71,-0.09,116,0.43,42,0.7,9
Northern Illinois,-0.07,0.02,54,0.18,1,-0.34,124,0.22,35,-0.7,120,0.24,27
Texas State,-0.08,-0.01,80,-0.12,113,-0.2,96,0.19,50,0.63,24,-1.05,123
Wake Forest,-0.09,0.05,36,-0.05,92,-0.19,86,0.04,105,0.32,57,-0.02,49
Indiana,-0.1,-0.07,119,-0.01,65,-0.19,91,0.09,85,0.56,28,0.21,31
Troy,-0.12,-0.02,90,-0.01,67,-0.24,108,0.1,81,0.38,48,-0.25,71
Middle Tennessee,-0.13,0.08,26,-0.26,125,-0.11,52,0.15,68,0.55,30,0.16,34
Michigan State,-0.14,-0.01,83,-0.03,83,-0.08,40,0.43,2,-1.15,127,-0.58,99
Liberty,-0.14,0.07,28,0,58,-0.1,45,0.08,88,-0.59,117,-0.51,89
Old Dominion,-0.14,-0.05,109,0.01,49,-0.22,102,0.22,31,-0.05,84,-0.09,53
Western Kentucky,-0.15,0.1,22,-0.05,89,-0.29,116,0.21,41,-0.27,101,-0.96,122
Tulane,-0.16,0.02,56,0.03,31,-0.02,25,0.04,102,-0.72,121,0.06,41
UAB,-0.16,0.09,24,-0.03,82,-0.17,81,0.13,74,-0.55,115,1.19,1
Oregon,-0.17,-0.03,102,-0.05,90,-0.19,87,0.04,101,0.53,32,-0.29,72
Minnesota,-0.19,-0.06,112,0.02,45,-0.09,41,0.06,94,-0.16,94,-0.74,111
Missouri,-0.19,-0.06,114,-0.01,66,-0.2,94,-0.11,118,0.91,10,0.08,37
Akron,-0.19,0.16,14,-0.12,114,-0.29,115,0.06,95,0.13,70,0.55,17
Ball State,-0.21,-0.07,120,0.05,21,-0.25,109,0.18,56,-0.1,88,0.47,21
Florida Atlantic,-0.21,-0.03,98,0,59,-0.19,90,0.19,49,-0.27,102,-0.42,82
Kent State,-0.22,0.02,55,-0.06,98,-0.29,117,0.18,54,0.13,71,-0.86,119
Central Michigan,-0.22,-0.05,111,-0.11,111,-0.04,30,0.23,25,-0.28,103,0.29,26
